,Material,Est. Tons,Mean,+/-,Stnd. Dev.
Delaware,Plastic,"19,309",12.50%,,
Delaware,"PET #1 Bottles, Jars, or Containers","2,781",1.80%,0.30%,0.20%
Delaware,HDPE #2 Natural and Colored Bottles,"1,490",1.00%,0.10%,0.10%
Delaware,Rigid HDPE #2 Containers,-,0.00%,0.00%,0.00%
Delaware,#3 to #7 Bottles or Jars,126,0.10%,0.10%,0.00%
Delaware,"Injection Molded Tubs #2, #4, #5, #6, & #7",361,0.20%,0.10%,0.10%
Delaware,All Other Rigid Plastic Packaging,312,0.20%,0.20%,0.10%
Delaware,White Expanded Polystyrene  (Styrofoam),745,0.50%,0.10%,0.10%
Delaware,Recoverable Film,"1,144",0.70%,0.20%,0.10%
Delaware,All Other Film,"6,476",4.20%,0.60%,0.30%
Delaware,Agricultural Film & Marine Shrink Wrap,28,0.00%,0.00%,0.00%
Delaware,Large Plastic Items,"1,234",0.80%,0.80%,0.50%
Delaware,Remainder/Composite Plastic,"4,612",3.00%,0.70%,0.40%
,,,,,
,,,,,
Iowa,Material Components,Mean Comp,Standard Deviation,Lower Upper,
Iowa,PLASTIC,,,,
Iowa,R #1 PET IA Deposit Beverage Containers,0.30%,0.30%,0.2% 0.4%,
Iowa,R #1 PET Beverage Containers,1.00%,0.80%,0.8% 1.3%,
Iowa,#2 HDPE Containers Natural,0.60%,0.50%,0.4% 0.8%,
Iowa,#2 HDPE Containers Colored,0.70%,0.70%,0.5% 0.9%,
Iowa,Retail Shopping Bags,1.00%,0.60%,0.8% 1.2%,
Iowa,Other Plastic Film,4.30%,1.60%,3.9% 4.8%,
Iowa,Other #1 PET Containers,0.70%,0.40%,0.6% 0.8%,
Iowa,Plastic Containers #3-#7,1.90%,1.10%,1.5% 2.2%,
Iowa,Other Plastic Containers,0.30%,0.20%,0.2% 0.3%,
Iowa,Expanded Polystyrene,0.70%,0.60%,0.5% 0.8%,
Iowa,Other Plastic Products,2.50%,2.50%,1.8% 3.3%,
Iowa,Total Plastic,13.90%,3.10%,13.0% 14.9%,
,,,,,
Washington,,,,,
Washington,Material,Mean Comp.,+ / -,Est. Tons,
Washington,Plastic Packaging,6.00%,,"40,077",
Washington,#1 PETE Plastic Bottles,0.50%,0.20%,"3,551",
Washington,#1 PETE Plastic Non-bottles,0.90%,0.40%,"6,262",
Washington,#2 HDPE Plastic Natural Bottles,0.20%,0.10%,"1,583",
Washington,#2 HDPE Plastic Colored Bottles,0.30%,0.20%,"2,087",
Washington,#2 HDPE Plastic Jars & Tubs,0.10%,0.10%,456,
Washington,#3 PVC Plastic Packaging,0.00%,0.00%,28,
Washington,#4 LDPE Plastic Packaging,0.00%,0.00%,0,
Washington,#5 PP Plastic Packaging,0.30%,0.10%,"1,823",
Washington,#6 PS Plastic Packaging,0.10%,0.10%,720,
Washington,#7 Other Plastic Packaging,0.30%,0.10%,"2,207",
Washington,Expanded Polystyrene Packaging,0.60%,0.20%,"4,246",
Washington,PLA/Compostable Plastic Packaging,0.00%,0.00%,0,
Washington,Plastic Merchandise Bags,0.50%,0.10%,"3,071",
Washington,Non-industrial Packaging Film Plastic,1.90%,0.40%,"12,667",
Washington,Industrial Packaging Film Plastic,0.10%,0.10%,744,
Washington,Flexible Plastic Packaging,0.10%,0.00%,343,
Washington,R/C Plastic Packaging,0.00%,0.10%,288,
